"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"64364",-1123994827,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",3
"64475",-1124083885,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"64690",-1123997086,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"66502",-1124083959,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"67006",-1127590405,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"67424",-1127683850,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"68104",-1127646148,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"69709",-1127550437,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"70187",-1127692329,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"71043",-1127645640,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"71532",-1127644506,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"72063",-1127590128,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"72089",-1127647239,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"72334",-1127647575,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"72703",-1127683934,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"73119",-1127657178,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"73921",-1127704359,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"74309",-1127701562,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"74597",-1127652182,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"75339",-1127700097,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"75972",-1127651701,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"76464",-1127731065,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"76651",-1127741805,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"78456",-1127703492,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"78915",-1127717548,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"78922",-1127717279,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"79248",-1127704448,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"79624",-1127654818,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"79639",-1127683362,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"80137",-1127732019,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"82123",-1127741794,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"83010",-1127730636,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"83238",-1127740751,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"84979",-1127703376,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"85456",-1127656492,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"86331",-1127730586,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"87163",-1127753633,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"87364",-1127740930,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"87873",-1127716785,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"88278",-1123953980,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"88354",-1127731648,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"89691",-1127742064,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"90156",-1127739998,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"91812",-1123963370,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"93128",-1124029069,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"93889",-1127739621,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"94245",-1123953829,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"94297",-1123953931,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"94484",-1127730696,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"94761",-1123963524,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"94844",-1124029346,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"95164",-1127562840,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
